Engine,buy_now,item_url,WoF expires,Seats,Cylinders,Import history,Stereo description,Transmission,Model detail,location,Number of owners,Body,Registration expires,Body style,Number plate,Engine size,AA Inspection Report,History,4WD,Fuel type,asking_price,Kilometres,start_price
,[],https://www.trademe.co.nz/motors/used-cars/mini/auction-2149243046.htm?rsqid=8c057464927c4232a5bb72a921771419-001,May 2020,,,,,,,"['Auckland City, Auckland, NZ']",,"White, Hatchback",,,,1598,,"New, Imported",,Petrol,[],"49,772","['$4,090.00']"
,[],https://www.trademe.co.nz/motors/used-cars/volkswagen/auction-2050508792.htm?rsqid=b494b0f6d5724c3b8eef82dc8c66e2da-001,Nov 2019,5,,,,Automatic,Tdi 150Kw Bmt,"['Blenheim, Marlborough, NZ']",,"White, 5 door, RV/SUV",Expired,,HEJ846,2967,,"3 owners, NZ New",Yes,Diesel,"['$33,500']","123,706",[]
,[],https://www.trademe.co.nz/motors/used-cars/subaru/auction-2160012477.htm?rsqid=20b6018c3ea94170aa1e976e3d9cf8da-001,,5,,,,Automatic,B4 2.0GT,"['Manukau, Auckland, NZ']",,"Silver, 4 door, Sedan",,,,1990,,,,Petrol,"['$6,490']","88,046",[]
,[],https://www.trademe.co.nz/motors/used-cars/bmw/auction-2155694783.htm?rsqid=6670e72532ad4b67a3acc02edf5f6ff2-001,,5,,Imported,CD(s),Automatic,SE Touring,"['Auckland City, Auckland, NZ']",,"Silver, 5 door, Station Wagon",,,LPB451,2490,,,,Petrol,"['$8,995']","117,222",[]
"4 cylinder, 1390",[],https://www.trademe.co.nz/motors/used-cars/volkswagen/auction-2047672047.htm?rsqid=d836209d01b24c87947792f1c6469ac9-001,Expired,5,,,,Automatic,1.4 TSI Highline 110KW Bluemotion,"['Auckland City, Auckland, NZ']",,"Silver, 5 door, Hatchback",,,,,,"New, Imported",,Petrol,"['$15,900']","48,314",[]
,[],https://www.trademe.co.nz/motors/used-cars/holden/auction-2047652115.htm?rsqid=d836209d01b24c87947792f1c6469ac9-001,,7,,NZ New,Radio,Automatic,LT 3.6L Petrol Auto AWD,"['North Shore, Auckland, NZ']",,"NITRATE, 5 door, RV/SUV",,,MCP799,3564,,,,Petrol,"['$48,895']",less than 1000,[]
,[],https://www.trademe.co.nz/motors/used-cars/ford/auction-2053634881.htm?rsqid=4e2e7c382e804f1f8dd3411c6504b47b-001,,5,,NZ New,"CD(s), Radio",Manual,3.2TD XLT,"['Gisborne, Gisborne, NZ']",,"4 door, Ute",,,GWR794,3199,,,Yes,Diesel,"['$36,990']","49,266",[]
,[],https://www.trademe.co.nz/motors/used-cars/toyota/auction-2049091780.htm?rsqid=3b86f2fab0f34ca4a4fba9a8cafccb3c-001,,5,,,,Automatic,GXL 2.5L,"['Auckland City, Auckland, NZ']",,"GREY, RV/SUV",,,MCM937,2494,,,,Petrol,"['$28,990']","46,900",[]
,[],https://www.trademe.co.nz/motors/used-cars/mitsubishi/auction-2156849924.htm?rsqid=5944f9b07d994274bd160adcc32abd62-001,,7,,,,Automatic,Super Exceed 3.8L V6 4wd,"['North Shore, Auckland, NZ']",,"Silver, RV/SUV",,,MCT124,3800,,,Yes,Petrol,"['$19,990']","102,000",[]
,[],https://www.trademe.co.nz/motors/used-cars/toyota/auction-2150240075.htm?rsqid=d4d05d3313324e4981ca29ca5ab98adc-001,,5,,,,Automatic,5 Door Auto 1.5,"['North Shore, Auckland, NZ']",,"Silver, Station Wagon",,,ECN526,1496,,,,Petrol,"['$3,650']","141,909",[]
