Kilometres,Body,Seats,Fuel type,Transmission,Model detail,location,item_url,is_import,enginesize,price,district,city
49772.0,"White, Hatchback",,Petrol,,,"Auckland City, Auckland, NZ",https://www.trademe.co.nz/motors/used-cars/mini/auction-2149243046.htm?rsqid=8c057464927c4232a5bb72a921771419-001,"New, Imported",1598.0,4090.0, Auckland,Auckland City
123706.0,"White, 5 door, RV/SUV",5.0,Diesel,Automatic,Tdi 150Kw Bmt,"Blenheim, Marlborough, NZ",https://www.trademe.co.nz/motors/used-cars/volkswagen/auction-2050508792.htm?rsqid=b494b0f6d5724c3b8eef82dc8c66e2da-001,"3 owners, NZ New",2967.0,33500.0, Marlborough,Blenheim
88046.0,"Silver, 4 door, Sedan",5.0,Petrol,Automatic,B4 2.0GT,"Manukau, Auckland, NZ",https://www.trademe.co.nz/motors/used-cars/subaru/auction-2160012477.htm?rsqid=20b6018c3ea94170aa1e976e3d9cf8da-001,,1990.0,6490.0, Auckland,Manukau
117222.0,"Silver, 5 door, Station Wagon",5.0,Petrol,Automatic,SE Touring,"Auckland City, Auckland, NZ",https://www.trademe.co.nz/motors/used-cars/bmw/auction-2155694783.htm?rsqid=6670e72532ad4b67a3acc02edf5f6ff2-001,,2490.0,8995.0, Auckland,Auckland City
48314.0,"Silver, 5 door, Hatchback",5.0,Petrol,Automatic,1.4 TSI Highline 110KW Bluemotion,"Auckland City, Auckland, NZ",https://www.trademe.co.nz/motors/used-cars/volkswagen/auction-2047672047.htm?rsqid=d836209d01b24c87947792f1c6469ac9-001,"New, Imported",,15900.0, Auckland,Auckland City
999.0,"NITRATE, 5 door, RV/SUV",7.0,Petrol,Automatic,LT 3.6L Petrol Auto AWD,"North Shore, Auckland, NZ",https://www.trademe.co.nz/motors/used-cars/holden/auction-2047652115.htm?rsqid=d836209d01b24c87947792f1c6469ac9-001,,3564.0,48895.0, Auckland,North Shore
49266.0,"4 door, Ute",5.0,Diesel,Manual,3.2TD XLT,"Gisborne, Gisborne, NZ",https://www.trademe.co.nz/motors/used-cars/ford/auction-2053634881.htm?rsqid=4e2e7c382e804f1f8dd3411c6504b47b-001,,3199.0,36990.0, Gisborne,Gisborne
46900.0,"GREY, RV/SUV",5.0,Petrol,Automatic,GXL 2.5L,"Auckland City, Auckland, NZ",https://www.trademe.co.nz/motors/used-cars/toyota/auction-2049091780.htm?rsqid=3b86f2fab0f34ca4a4fba9a8cafccb3c-001,,2494.0,28990.0, Auckland,Auckland City
102000.0,"Silver, RV/SUV",7.0,Petrol,Automatic,Super Exceed 3.8L V6 4wd,"North Shore, Auckland, NZ",https://www.trademe.co.nz/motors/used-cars/mitsubishi/auction-2156849924.htm?rsqid=5944f9b07d994274bd160adcc32abd62-001,,3800.0,19990.0, Auckland,North Shore
141909.0,"Silver, Station Wagon",5.0,Petrol,Automatic,5 Door Auto 1.5,"North Shore, Auckland, NZ",https://www.trademe.co.nz/motors/used-cars/toyota/auction-2150240075.htm?rsqid=d4d05d3313324e4981ca29ca5ab98adc-001,,1496.0,3650.0, Auckland,North Shore
96482.0,"Blue, Hatchback",,Petrol,Automatic,,"Hamilton, Waikato, NZ",https://www.trademe.co.nz/motors/used-cars/volkswagen/auction-2149388778.htm?rsqid=2b3431a3cb554a2daf4abe6f3d0f561c-001,"1 owner, Imported",2000.0,35000.0, Waikato,Hamilton
202364.0,"White, 5 door, Hatchback",5.0,Petrol,Automatic,Sporthatch Glx,"Feilding, Manawatu, NZ",https://www.trademe.co.nz/motors/used-cars/mazda/auction-2161337582.htm?rsqid=e62b3865dda94b5892d0405302ead3a5-001,"4 owners, NZ New",1999.0,5500.0, Manawatu,Feilding
